method,subject,budget_k,snr_order,snr_label,snr_db,balanced_accuracy,n_observations,n_directions,n_model_seeds,n_channel_realizations
FBCSP + PCA,4,64,3,5_dB,5.0,0.4951033388148879,120,2,3,20
FBCSP + PCA,4,64,4,10_dB,10.0,0.5093477694783617,120,2,3,20
FBCSP + PCA,4,64,5,15_dB,15.0,0.5146031772842501,120,2,3,20
FBCSP + PCA,4,64,6,20_dB,20.0,0.5145197432478251,120,2,3,20
FBCSP + PCA,4,64,7,noise_free,,0.511540145197152,120,2,3,20
FBCSP + PCA,5,16,0,-10_dB,-10.0,0.2877006456549975,120,2,3,20
FBCSP + PCA,5,16,1,-5_dB,-5.0,0.3119863729363445,120,2,3,20
FBCSP + PCA,5,16,2,0_dB,0.0,0.3359697680435026,120,2,3,20
FBCSP + PCA,5,16,3,5_dB,5.0,0.3505568117387755,120,2,3,20
FBCSP + PCA,5,16,4,10_dB,10.0,0.3542293024162548,120,2,3,20
FBCSP + PCA,5,16,5,15_dB,15.0,0.357959762807163,120,2,3,20
FBCSP + PCA,5,16,6,20_dB,20.0,0.3560071211235228,120,2,3,20
FBCSP + PCA,5,16,7,noise_free,,0.3510702590095029,120,2,3,20
FBCSP + PCA,5,32,0,-10_dB,-10.0,0.2842572674759566,120,2,3,20
FBCSP + PCA,5,32,1,-5_dB,-5.0,0.314738328748306,120,2,3,20
FBCSP + PCA,5,32,2,0_dB,0.0,0.3394654340757723,120,2,3,20
FBCSP + PCA,5,32,3,5_dB,5.0,0.3465464380657437,120,2,3,20
FBCSP + PCA,5,32,4,10_dB,10.0,0.3428985222347893,120,2,3,20
FBCSP + PCA,5,32,5,15_dB,15.0,0.3403112722766154,120,2,3,20
FBCSP + PCA,5,32,6,20_dB,20.0,0.3387752646955275,120,2,3,20
FBCSP + PCA,5,32,7,noise_free,,0.3358584574779416,120,2,3,20
FBCSP + PCA,5,64,0,-10_dB,-10.0,0.2958048872176265,120,2,3,20
FBCSP + PCA,5,64,1,-5_dB,-5.0,0.3244499887812874,120,2,3,20
FBCSP + PCA,5,64,2,0_dB,0.0,0.3360553025931636,120,2,3,20
FBCSP + PCA,5,64,3,5_dB,5.0,0.3480003763803853,120,2,3,20
FBCSP + PCA,5,64,4,10_dB,10.0,0.3454475051718116,120,2,3,20
FBCSP + PCA,5,64,5,15_dB,15.0,0.3425638314303345,120,2,3,20
FBCSP + PCA,5,64,6,20_dB,20.0,0.3450873218618391,120,2,3,20
FBCSP + PCA,5,64,7,noise_free,,0.3457283398007765,120,2,3,20
FBCSP + PCA,6,16,0,-10_dB,-10.0,0.3087345396647469,120,2,3,20
FBCSP + PCA,6,16,1,-5_dB,-5.0,0.3659247109324321,120,2,3,20
FBCSP + PCA,6,16,2,0_dB,0.0,0.4050102009882356,120,2,3,20
